"Step","0_sazut-tonat-dokabtofok - episodic_return","0_sazut-tonat-dokabtofok - episodic_return__MIN","0_sazut-tonat-dokabtofok - episodic_return__MAX"
"134152","40","40","40"
"135067","40","40","40"
"135603","40","40","40"
"136280","40","40","40"
"136392","0","0","0"
"136491","40","40","40"
"137671","8","8","8"
"138114","40","40","40"
"139308","40","40","40"
"139677","8","8","8"
"139798","10","10","10"
"140028","40","40","40"
"140128","40","40","40"
"140378","7","7","7"
"140959","40","40","40"
"141166","40","40","40"
"141854","40","40","40"
"142120","27","27","27"
"142795","40","40","40"
"142970","40","40","40"
"143054","40","40","40"
"143315","40","40","40"
"143767","40","40","40"
"143993","40","40","40"
"144213","40","40","40"
"144614","40","40","40"
"145782","40","40","40"
"146094","3","3","3"
"146540","1","1","1"
"147621","40","40","40"
"148529","40","40","40"
"149532","40","40","40"
"149627","0","0","0"
"150351","40","40","40"
"150562","2","2","2"
"150725","40","40","40"
"152125","22","22","22"
"153386","40","40","40"
"153917","0","0","0"
"154412","2","2","2"
"154967","1","1","1"
"156627","4","4","4"
"156865","40","40","40"
"157115","4","4","4"
"157367","40","40","40"
"159032","40","40","40"
"159143","40","40","40"
"161202","40","40","40"
"161497","40","40","40"
"161536","41","41","41"
"161635","40","40","40"
"162444","0","0","0"
"163069","6","6","6"
"163105","40","40","40"
"163445","40","40","40"
"163657","40","40","40"
"163793","41","41","41"
"164435","3","3","3"
"165396","40","40","40"
"167595","40","40","40"
"170479","40","40","40"
"170512","40","40","40"
"170675","40","40","40"
"171565","40","40","40"
"172803","40","40","40"
"173073","2","2","2"
"173389","40","40","40"
"173831","40","40","40"
"174361","10","10","10"
"174900","40","40","40"
"175158","40","40","40"
"176800","40","40","40"
"177435","40","40","40"
"177688","2","2","2"
"177801","4","4","4"
"178246","40","40","40"
"178898","40","40","40"
"180329","40","40","40"
"180682","40","40","40"
"181470","40","40","40"
"181845","40","40","40"
"182510","40","40","40"
"182562","40","40","40"
"182889","0","0","0"
"184889","40","40","40"
"184927","40","40","40"
"185227","40","40","40"
"185800","40","40","40"
"186372","40","40","40"
"187021","6","6","6"
"187359","0","0","0"
"187473","7","7","7"
"187869","40","40","40"
"189308","40","40","40"
"189544","40","40","40"
"190288","11","11","11"
"190337","22","22","22"
"190938","40","40","40"
"191096","40","40","40"
"191712","4","4","4"
"192058","40","40","40"
"192143","40","40","40"
"192590","40","40","40"
"193132","40","40","40"
"194044","0","0","0"
"194758","8","8","8"
"195626","40","40","40"
"196027","40","40","40"
"196221","40","40","40"
"196310","40","40","40"
"196658","40","40","40"
"196695","40","40","40"
"197239","40","40","40"
"197606","40","40","40"
"198658","40","40","40"
"199352","4","4","4"
"199789","10","10","10"
"200524","40","40","40"
"200733","8","8","8"
"201555","40","40","40"
"201768","6","6","6"
"202452","19","19","19"
"202522","4","4","4"
"202613","40","40","40"
"203269","40","40","40"
"206641","40","40","40"
"207783","40","40","40"
"208161","40","40","40"
"208250","12","12","12"
"208384","40","40","40"
"209195","40","40","40"
"210535","0","0","0"
"211617","1","1","1"
"212329","40","40","40"
"212659","40","40","40"
"213008","11","11","11"
"214391","6","6","6"
"214616","40","40","40"
"214937","40","40","40"
"215299","40","40","40"
"215628","7","7","7"
"216377","40","40","40"
"216603","40","40","40"
"216710","11","11","11"
"218992","40","40","40"
"220563","8","8","8"
"220792","7","7","7"
"221831","41","41","41"
"222138","6","6","6"
"223437","40","40","40"
"223735","4","4","4"
"223844","40","40","40"
"224708","40","40","40"
"225339","41","41","41"
"225352","40","40","40"
"226018","40","40","40"
"226511","40","40","40"
"226642","40","40","40"
"226824","0","0","0"
"228860","40","40","40"
"229174","40","40","40"
"229285","40","40","40"
"229757","21","21","21"
"230422","23","23","23"
"230494","40","40","40"
"230999","40","40","40"
"231569","40","40","40"
"232284","40","40","40"
"232449","40","40","40"
"233199","16","16","16"
"233503","41","41","41"
"233566","1","1","1"
"233644","40","40","40"
"234314","40","40","40"
"235074","40","40","40"
"235403","40","40","40"
"235541","40","40","40"
"236223","40","40","40"
"236558","40","40","40"
"237392","15","15","15"
"237618","40","40","40"
"237677","40","40","40"
"238420","19","19","19"
"238469","14","14","14"
"238921","40","40","40"
"239558","13","13","13"
"240512","25","25","25"
"240629","40","40","40"
"241497","11","11","11"
"242100","40","40","40"
"242247","11","11","11"
"242968","40","40","40"
"245097","16","16","16"
"245363","40","40","40"
"245553","40","40","40"
"246157","11","11","11"
"246499","40","40","40"
"246882","6","6","6"
"246922","8","8","8"
"247066","40","40","40"
"249378","0","0","0"
"249958","40","40","40"
"250973","40","40","40"
"251880","40","40","40"
"252226","4","4","4"
"252744","12","12","12"
"254422","9","9","9"
"254868","8","8","8"
"255079","40","40","40"
"255403","40","40","40"
"255553","11","11","11"
"257297","22","22","22"
"257607","2","2","2"
"258338","4","4","4"
