"Step","3_sazut-tonat-dakadpizif - episodic_return","3_sazut-tonat-dakadpizif - episodic_return__MIN","3_sazut-tonat-dakadpizif - episodic_return__MAX"
"3216","0.43999993801116943","0.43999993801116943","0.43999993801116943"
"3654","0.559999942779541","0.559999942779541","0.559999942779541"
"4161","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"4347","0.2799999713897705","0.2799999713897705","0.2799999713897705"
"5229","0.43999993801116943","0.43999993801116943","0.43999993801116943"
"5348","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"5750","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"5905","0.3999999463558197","0.3999999463558197","0.3999999463558197"
"6019","0.7200000286102295","0.7200000286102295","0.7200000286102295"
"6908","0.2799999713897705","0.2799999713897705","0.2799999713897705"
"7257","0.47999992966651917","0.47999992966651917","0.47999992966651917"
"7468","0.9200001358985901","0.9200001358985901","0.9200001358985901"
"7775","0.9200001358985901","0.9200001358985901","0.9200001358985901"
"8251","0.31999996304512024","0.31999996304512024","0.31999996304512024"
"8541","0.43999993801116943","0.43999993801116943","0.43999993801116943"
"8904","0.47999992966651917","0.47999992966651917","0.47999992966651917"
"8969","0.5199999213218689","0.5199999213218689","0.5199999213218689"
"9332","0.559999942779541","0.559999942779541","0.559999942779541"
"9463","0.7200000286102295","0.7200000286102295","0.7200000286102295"
"9568","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"9682","1.3199998140335083","1.3199998140335083","1.3199998140335083"
"9977","0.3999999463558197","0.3999999463558197","0.3999999463558197"
"10196","1.279999852180481","1.279999852180481","1.279999852180481"
"10273","0.2799999713897705","0.2799999713897705","0.2799999713897705"
"10338","0.23999997973442078","0.23999997973442078","0.23999997973442078"
"10439","0.43999993801116943","0.43999993801116943","0.43999993801116943"
"10863","0.7600000500679016","0.7600000500679016","0.7600000500679016"
"10882","0.7600000500679016","0.7600000500679016","0.7600000500679016"
"11098","0.5199999213218689","0.5199999213218689","0.5199999213218689"
"11151","0.47999992966651917","0.47999992966651917","0.47999992966651917"
"11766","0.47999992966651917","0.47999992966651917","0.47999992966651917"
"11779","0.35999995470046997","0.35999995470046997","0.35999995470046997"
"11931","0.5199999213218689","0.5199999213218689","0.5199999213218689"
"12267","1.0000001192092896","1.0000001192092896","1.0000001192092896"
"12289","0.880000114440918","0.880000114440918","0.880000114440918"
"12433","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"12566","1.279999852180481","1.279999852180481","1.279999852180481"
"12887","1.279999852180481","1.279999852180481","1.279999852180481"
"13415","0.880000114440918","0.880000114440918","0.880000114440918"
"13794","0.19999998807907104","0.19999998807907104","0.19999998807907104"
"14026","1.279999852180481","1.279999852180481","1.279999852180481"
"14466","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"14682","0.3999999463558197","0.3999999463558197","0.3999999463558197"
"14816","0.8000000715255737","0.8000000715255737","0.8000000715255737"
"14908","0.3999999463558197","0.3999999463558197","0.3999999463558197"
"14975","1.159999966621399","1.159999966621399","1.159999966621399"
"15073","0.6800000071525574","0.6800000071525574","0.6800000071525574"
"15301","1.1999999284744263","1.1999999284744263","1.1999999284744263"
"15437","0.6800000071525574","0.6800000071525574","0.6800000071525574"
"15616","0.35999995470046997","0.35999995470046997","0.35999995470046997"
"16038","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"16299","0.35999995470046997","0.35999995470046997","0.35999995470046997"
"16429","0.31999996304512024","0.31999996304512024","0.31999996304512024"
"16584","0.5199999213218689","0.5199999213218689","0.5199999213218689"
"16651","1.040000081062317","1.040000081062317","1.040000081062317"
"16937","0.3999999463558197","0.3999999463558197","0.3999999463558197"
