"Step","14_sazut-tonat-munobhasaz - episodic_return","14_sazut-tonat-munobhasaz - episodic_return__MIN","14_sazut-tonat-munobhasaz - episodic_return__MAX"
"112831","7","7","7"
"113038","8","8","8"
"113153","4","4","4"
"113333","1","1","1"
"113453","3","3","3"
"113505","5","5","5"
"113648","4","4","4"
"113813","3","3","3"
"114231","5","5","5"
"114484","9","9","9"
"115000","3","3","3"
"115311","0","0","0"
"115481","4","4","4"
"115792","6","6","6"
"116376","6","6","6"
"116428","1","1","1"
"116587","3","3","3"
"116740","3","3","3"
"116815","3","3","3"
"117066","3","3","3"
"117320","3","3","3"
"118614","10","10","10"
"119852","12","12","12"
"119918","4","4","4"
"120042","4","4","4"
"120195","4","4","4"
"120395","3","3","3"
"120800","0","0","0"
"120934","7","7","7"
"121265","9","9","9"
"121920","6","6","6"
"122207","2","2","2"
"122409","5","5","5"
"122682","11","11","11"
"122750","1","1","1"
"123287","6","6","6"
"123452","0","0","0"
"123653","3","3","3"
"123752","9","9","9"
"123913","8","8","8"
"124173","0","0","0"
"124771","5","5","5"
"125095","8","8","8"
"125212","11","11","11"
"125476","9","9","9"
"125575","5","5","5"
"126235","7","7","7"
"126322","1","1","1"
"126481","2","2","2"
"127261","3","3","3"
"127567","2","2","2"
"127636","5","5","5"
"127826","10","10","10"
"127927","0","0","0"
"128120","3","3","3"
"128182","16","16","16"
"128239","2","2","2"
"128421","5","5","5"
"129241","1","1","1"
"129374","2","2","2"
"130197","1","1","1"
"130586","7","7","7"
"130813","2","2","2"
"131820","1","1","1"
"132048","2","2","2"
"133443","1","1","1"
"133516","4","4","4"
"133600","3","3","3"
"133642","2","2","2"
"133704","3","3","3"
"133947","5","5","5"
"134059","4","4","4"
"134126","1","1","1"
"134197","6","6","6"
"134335","6","6","6"
"134870","3","3","3"
"135046","12","12","12"
"135720","3","3","3"
"135782","2","2","2"
"135831","1","1","1"
"136314","2","2","2"
"136782","8","8","8"
"137389","10","10","10"
"137465","11","11","11"
"137825","9","9","9"
"137986","6","6","6"
"138420","6","6","6"
"139076","12","12","12"
"139186","2","2","2"
"139248","8","8","8"
"140252","4","4","4"
"140472","0","0","0"
"140522","4","4","4"
"140875","4","4","4"
"141474","9","9","9"
"141833","5","5","5"
"142292","3","3","3"
"142611","3","3","3"
"143011","3","3","3"
"143441","4","4","4"
"144072","1","1","1"
"144335","6","6","6"
"144615","3","3","3"
"144960","3","3","3"
"145029","4","4","4"
"145089","10","10","10"
"146173","1","1","1"
"146317","5","5","5"
"147014","1","1","1"
"147238","2","2","2"
"147864","14","14","14"
"148443","5","5","5"
"148693","6","6","6"
"148871","8","8","8"
"148946","7","7","7"
"149582","1","1","1"
"149797","6","6","6"
"149840","2","2","2"
"150111","5","5","5"
"150218","5","5","5"
"150874","6","6","6"
"151215","5","5","5"
"151294","11","11","11"
"151520","2","2","2"
"151875","5","5","5"
"152220","1","1","1"
"153204","1","1","1"
"153902","5","5","5"
"154481","13","13","13"
"154678","6","6","6"
"155003","6","6","6"
"155094","9","9","9"
"155208","1","1","1"
"155580","4","4","4"
"156311","2","2","2"
"156600","4","4","4"
"157096","5","5","5"
"157149","1","1","1"
"157196","2","2","2"
"157282","3","3","3"
"157385","1","1","1"
"157441","0","0","0"
"157972","5","5","5"
"158391","13","13","13"
"158466","3","3","3"
"158634","1","1","1"
"159046","1","1","1"
"159357","1","1","1"
"159375","2","2","2"
"160627","1","1","1"
"161082","2","2","2"
"162381","6","6","6"
"162605","7","7","7"
"162880","6","6","6"
"163655","3","3","3"
"163972","10","10","10"
"164144","5","5","5"
"164570","4","4","4"
"164735","9","9","9"
"164786","7","7","7"
"165223","4","4","4"
"166110","1","1","1"
"166613","3","3","3"
"166809","10","10","10"
"166936","3","3","3"
"167199","5","5","5"
"167371","5","5","5"
"167822","4","4","4"
"167904","4","4","4"
"169091","5","5","5"
"169702","6","6","6"
"170651","4","4","4"
"170917","6","6","6"
"171006","5","5","5"
"171603","13","13","13"
"171703","3","3","3"
"171766","3","3","3"
"172520","4","4","4"
"172801","1","1","1"
"172892","2","2","2"
"173129","3","3","3"
"173225","3","3","3"
"173253","12","12","12"
"173359","6","6","6"
"173456","7","7","7"
"173560","4","4","4"
"173597","6","6","6"
"174890","2","2","2"
"175026","0","0","0"
"175460","3","3","3"
"176487","1","1","1"
"177032","8","8","8"
"177106","6","6","6"
"177716","9","9","9"
"178378","9","9","9"
"178580","8","8","8"
"178703","5","5","5"
"179123","3","3","3"
"179244","1","1","1"
"179324","10","10","10"
"179339","2","2","2"
"179445","7","7","7"
"179806","1","1","1"
"179947","2","2","2"
"180054","5","5","5"
"180390","1","1","1"
"181026","8","8","8"
"181314","8","8","8"
"181563","3","3","3"
"181934","7","7","7"
"181973","4","4","4"
"182760","1","1","1"
"182784","3","3","3"
"183264","2","2","2"
"184005","1","1","1"
"184772","5","5","5"
"184858","7","7","7"
"185149","4","4","4"
"185313","8","8","8"
"185742","2","2","2"
"186515","8","8","8"
"186825","4","4","4"
"187001","3","3","3"
"187134","4","4","4"
"187441","7","7","7"
"188455","2","2","2"
"189584","3","3","3"
"189644","10","10","10"
"189849","6","6","6"
"190467","4","4","4"
"190821","7","7","7"
"191231","0","0","0"
"191496","4","4","4"
"191771","7","7","7"
"192188","2","2","2"
"192193","4","4","4"
"192422","5","5","5"
