"Step","11_sazut-tonat-nigonribop - episodic_return","11_sazut-tonat-nigonribop - episodic_return__MIN","11_sazut-tonat-nigonribop - episodic_return__MAX"
"183170","10","10","10"
"184283","10","10","10"
"184340","10","10","10"
"185753","10","10","10"
"186160","10","10","10"
"187664","10","10","10"
"189137","10","10","10"
"189253","10","10","10"
"189824","10","10","10"
"190293","10","10","10"
"190533","10","10","10"
"190852","10","10","10"
"191483","10","10","10"
"192714","10","10","10"
"193168","10","10","10"
"194703","10","10","10"
"195476","10","10","10"
"196168","10","10","10"
"196506","10","10","10"
"196848","10","10","10"
"197313","10","10","10"
"198541","10","10","10"
"199254","10","10","10"
"199747","10","10","10"
"200160","10","10","10"
"200746","10","10","10"
"200787","10","10","10"
"201412","10","10","10"
"201720","10","10","10"
"203600","10","10","10"
"203940","10","10","10"
"204192","10","10","10"
"205161","10","10","10"
"205258","10","10","10"
"205770","10","10","10"
"206581","10","10","10"
"206728","10","10","10"
"206928","10","10","10"
"208402","10","10","10"
"209155","10","10","10"
"209745","10","10","10"
"210203","10","10","10"
"210661","10","10","10"
"210869","10","10","10"
"211126","10","10","10"
"211360","10","10","10"
"211472","10","10","10"
"211780","10","10","10"
"212047","10","10","10"
"213365","10","10","10"
"213458","10","10","10"
"213746","10","10","10"
"213796","10","10","10"
"214085","10","10","10"
"214173","10","10","10"
"214834","10","10","10"
"215234","10","10","10"
"215633","10","10","10"
"215941","10","10","10"
"216059","10","10","10"
"216838","10","10","10"
"217731","10","10","10"
"217817","10","10","10"
"218150","10","10","10"
"218875","10","10","10"
"218883","10","10","10"
"219660","10","10","10"
"220178","10","10","10"
"221075","10","10","10"
"221792","10","10","10"
"222580","10","10","10"
"223230","10","10","10"
"223329","10","10","10"
"223448","10","10","10"
"223891","10","10","10"
"224204","10","10","10"
"224350","10","10","10"
"224797","10","10","10"
"224976","10","10","10"
"225154","10","10","10"
"226712","10","10","10"
"227206","10","10","10"
"227969","10","10","10"
"228153","10","10","10"
"228783","10","10","10"
"229330","10","10","10"
"229584","10","10","10"
"229789","10","10","10"
"229966","10","10","10"
"230026","10","10","10"
"230375","10","10","10"
"230409","10","10","10"
"231328","10","10","10"
"231433","10","10","10"
"231498","10","10","10"
"231588","10","10","10"
"231809","10","10","10"
"232597","10","10","10"
"236041","10","10","10"
"236422","10","10","10"
"236623","10","10","10"
"236993","10","10","10"
"238229","10","10","10"
"239558","10","10","10"
"240571","10","10","10"
"240795","10","10","10"
"241432","10","10","10"
"242052","10","10","10"
"242714","0","0","0"
"242814","10","10","10"
"243081","10","10","10"
"243414","10","10","10"
"244045","10","10","10"
"244230","10","10","10"
"244621","10","10","10"
"244916","10","10","10"
"244966","10","10","10"
"244993","10","10","10"
"245097","0","0","0"
"245124","10","10","10"
"245210","10","10","10"
"245396","10","10","10"
"245643","10","10","10"
"245761","10","10","10"
"246355","10","10","10"
"248898","10","10","10"
"249371","10","10","10"
"249521","10","10","10"
"250262","10","10","10"
"250420","10","10","10"
"251435","10","10","10"
"251668","10","10","10"
"252130","10","10","10"
"253123","10","10","10"
"253409","10","10","10"
"253475","10","10","10"
"254078","10","10","10"
"254277","10","10","10"
"254377","10","10","10"
"254486","10","10","10"
"255025","10","10","10"
"255380","10","10","10"
"256022","10","10","10"
"256193","10","10","10"
"257896","10","10","10"
"258011","10","10","10"
"258622","10","10","10"
"258766","10","10","10"
"259551","0","0","0"
"259814","10","10","10"
"260655","10","10","10"
"261336","10","10","10"
"262020","10","10","10"
"263140","10","10","10"
"263310","10","10","10"
"263373","10","10","10"
"263840","0","0","0"
"264216","10","10","10"
"264844","10","10","10"
"264982","10","10","10"
"265536","10","10","10"
"266474","10","10","10"
"266641","10","10","10"
"267841","10","10","10"
"269028","10","10","10"
"269144","10","10","10"
"269198","10","10","10"
"269328","10","10","10"
"270344","10","10","10"
"270767","10","10","10"
"270797","10","10","10"
"272001","10","10","10"
"272695","10","10","10"
"273492","10","10","10"
"273573","10","10","10"
"274080","10","10","10"
"275277","10","10","10"
"275506","10","10","10"
"275796","10","10","10"
"276058","10","10","10"
"276242","10","10","10"
"276474","10","10","10"
"276689","10","10","10"
"276743","0","0","0"
"277411","10","10","10"
"277994","10","10","10"
"278053","10","10","10"
"278151","10","10","10"
"278878","10","10","10"
"279104","10","10","10"
"280132","10","10","10"
"280660","10","10","10"
"280890","10","10","10"
"280902","10","10","10"
"280978","10","10","10"
"281181","10","10","10"
"282115","10","10","10"
"283510","10","10","10"
"283605","10","10","10"
"285614","10","10","10"
"285896","10","10","10"
"286020","10","10","10"
"286087","10","10","10"
"286150","10","10","10"
"286364","10","10","10"
