"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"185711","13","13","13"
"185864","3","3","3"
"187954","13","13","13"
"188005","13","13","13"
"188083","13","13","13"
"188218","13","13","13"
"188802","13","13","13"
"189200","13","13","13"
"189811","13","13","13"
"189964","13","13","13"
"190700","13","13","13"
"190735","2","2","2"
"191201","0","0","0"
"191379","2","2","2"
"191688","13","13","13"
"192499","13","13","13"
"193760","13","13","13"
"194149","13","13","13"
"196052","13","13","13"
"197692","2","2","2"
"198142","0","0","0"
"198348","13","13","13"
"198857","2","2","2"
"199390","13","13","13"
"200703","13","13","13"
"201032","13","13","13"
"202868","3","3","3"
"204542","13","13","13"
"204674","13","13","13"
"205560","13","13","13"
"206335","13","13","13"
"207040","13","13","13"
"208326","0","0","0"
"208396","13","13","13"
"209020","13","13","13"
"209044","13","13","13"
"209207","13","13","13"
"209732","13","13","13"
"210236","13","13","13"
"210649","13","13","13"
"211091","13","13","13"
"211319","13","13","13"
"211461","13","13","13"
"211651","13","13","13"
"212220","13","13","13"
"212937","13","13","13"
"213698","13","13","13"
"214099","13","13","13"
"214324","13","13","13"
"214553","13","13","13"
"214775","13","13","13"
"215193","1","1","1"
"215493","13","13","13"
"215740","13","13","13"
"215882","13","13","13"
"216093","3","3","3"
"216708","13","13","13"
"217177","13","13","13"
"218036","13","13","13"
"218900","13","13","13"
"218984","3","3","3"
"220037","13","13","13"
"221651","13","13","13"
"222529","3","3","3"
"222720","13","13","13"
"223257","13","13","13"
"223820","13","13","13"
"223940","13","13","13"
"224348","3","3","3"
"225024","13","13","13"
"225089","13","13","13"
"225297","13","13","13"
"225625","1","1","1"
"226060","13","13","13"
"226705","13","13","13"
"227032","13","13","13"
"227347","13","13","13"
"227688","13","13","13"
"227767","13","13","13"
"227929","13","13","13"
"228871","3","3","3"
"229559","13","13","13"
"230537","13","13","13"
"230886","3","3","3"
"230937","13","13","13"
"231296","13","13","13"
"231939","13","13","13"
"232641","13","13","13"
"232823","3","3","3"
"233097","13","13","13"
"233318","13","13","13"
